customerID,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_group,monthly_charges_quartile,SeniorCitizen,TotalCharges,has_social_ties,contract_risk_score,is_fiber_optic,num_services,num_protection_services,monthly_charges_zscore,monthly_charges_per_service,tenure_x_contract_risk,charges_to_tenure_ratio,total_to_monthly_ratio
7590-VHVEG,Female,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,No,new,Q1,0,29.85,1,2,0,1,1,-1.1602,14.925,2,14.925,0.9676
5575-GNVDE,Male,No,No,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,No,established,Q2,0,1889.5,0,1,0,3,2,-0.2596,14.2375,34,1.6271,32.6057
3668-QPYBK,Male,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,Yes,new,Q2,0,108.15,0,2,0,3,2,-0.3626,13.4625,4,17.95,1.9717
7795-CFOCW,Male,No,No,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),No,established,Q2,0,1840.75,0,1,0,3,3,-0.7465,10.575,45,0.9196,42.5115
9237-HQITU,Female,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,Yes,new,Q3,0,151.65,0,2,1,1,0,0.1974,35.35,4,23.5667,2.1151
9305-CDSKC,Female,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,new,Q4,0,820.5,0,2,1,5,1,1.1595,16.6083,16,11.0722,8.152
1452-KIOVK,Male,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),No,developing,Q3,0,1949.4,1,2,1,4,1,0.8088,17.82,44,3.8739,21.636
6713-OKOMC,Female,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,No,new,Q1,0,301.9,0,2,0,1,1,-1.1636,14.875,20,2.7045,9.8179
7892-POOKP,Female,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Yes,established,Q4,0,3046.05,1,2,1,6,2,1.3306,14.9714,56,3.6138,28.7906
6388-TABGU,Male,No,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),No,loyal,Q2,0,3487.95,1,1,0,3,2,-0.2862,14.0375,62,0.8913,61.0315
9763-GRSKD,Male,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,No,developing,Q2,0,587.45,1,2,0,2,1,-0.4922,16.65,26,3.5679,11.5299
7469-LKBCI,Male,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),No,developing,Q1,0,326.8,0,0,0,1,0,-1.5225,9.475,0,1.1147,16.381
8091-TTVAX,Male,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),No,loyal,Q4,0,5681.1,1,1,1,5,1,1.1827,16.725,58,1.7008,56.0543
0280-XJGEX,Male,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),Yes,loyal,Q4,0,5036.3,0,2,1,6,2,1.2941,14.8143,98,2.074,48.1022
5129-JLPIS,Male,No,No,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,No,established,Q4,0,2686.05,0,2,1,6,3,1.3539,15.0714,50,4.0577,25.2211
3655-SNQYZ,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),No,loyal,Q4,0,7895.15,1,0,1,8,4,1.6114,12.5833,0,1.6179,69.1042
8191-XWSZG,Female,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,No,loyal,Q1,0,1022.95,0,1,0,1,0,-1.466,10.325,52,0.3896,47.2494
